Uid,City Name,State,Abbr
1561370041,Adona,Arkansas,AR
1561370042,Alexander,Arkansas,AR
1561370043,Alicia,Arkansas,AR
1561370044,Allport,Arkansas,AR
1561370045,Alma,Arkansas,AR
1561370046,Almyra,Arkansas,AR
1561370047,Alpena,Arkansas,AR
1561370048,Altheimer,Arkansas,AR
1561370049,Altus,Arkansas,AR
1561370050,Amagon,Arkansas,AR
1561370051,Amity,Arkansas,AR
1561370052,Anthonyville,Arkansas,AR
1561370053,Antoine,Arkansas,AR
1561370054,Arkadelphia,Arkansas,AR
1561370055,Arkansas City,Arkansas,AR
1561370056,Ash Flat,Arkansas,AR
1561370057,Ashdown,Arkansas,AR
1561370058,Atkins,Arkansas,AR
1561370059,Aubrey,Arkansas,AR
1561370060,Augusta,Arkansas,AR
1561370061,Austin,Arkansas,AR
1561370062,Avilla,Arkansas,AR
1561370063,Avoca,Arkansas,AR
1561370064,Bald Knob,Arkansas,AR
1561370065,Banks,Arkansas,AR
1561370066,Barling,Arkansas,AR
1561370067,Bassett,Arkansas,AR
1561370068,Batesville,Arkansas,AR
1561370069,Bauxite,Arkansas,AR
1561370070,Bay,Arkansas,AR
1561370071,Bearden,Arkansas,AR
1561370072,Beaver,Arkansas,AR
1561370073,Beebe,Arkansas,AR
1561370074,Beedeville,Arkansas,AR
1561370075,Bella Vista,Arkansas,AR
1561370076,Bellefonte,Arkansas,AR
1561370077,Belleville,Arkansas,AR
1561370078,Ben Lomond,Arkansas,AR
1561370079,Benton,Arkansas,AR
1561370080,Bentonville,Arkansas,AR
1561370081,Bergman,Arkansas,AR
1561370082,Berryville,Arkansas,AR
1561370083,Bethel Heights,Arkansas,AR
1561370084,Big Flat,Arkansas,AR
1561370085,Bigelow,Arkansas,AR
1561370086,Biggers,Arkansas,AR
1561370087,Birdsong,Arkansas,AR
1561370088,Black Oak,Arkansas,AR
1561370089,Black Rock,Arkansas,AR
1561370090,Black Springs,Arkansas,AR
1561370091,Blevins,Arkansas,AR
1561370092,Blue Eye,Arkansas,AR
1561370093,Blue Mountain,Arkansas,AR
1561370094,Bluff City,Arkansas,AR
1561370095,Blytheville,Arkansas,AR
1561370096,Bodcaw,Arkansas,AR
1561370097,Bonanza,Arkansas,AR
1561370098,Bono,Arkansas,AR
1561370099,Booneville,Arkansas,AR
1561370100,Bradford,Arkansas,AR
1561370101,Bradley,Arkansas,AR
1561370102,Branch,Arkansas,AR
1561370103,Briarcliff,Arkansas,AR
1561370104,Brinkley,Arkansas,AR
1561370105,Brookland,Arkansas,AR
1561370106,Bryant,Arkansas,AR
1561370107,Buckner,Arkansas,AR
1561370108,Bull Shoals,Arkansas,AR
1561370109,Burdette,Arkansas,AR
1561370110,Cabot,Arkansas,AR
1561370111,Caddo Valley,Arkansas,AR
1561370112,Caldwell,Arkansas,AR
1561370113,Cale,Arkansas,AR
1561370114,Calico Rock,Arkansas,AR
1561370115,Calion,Arkansas,AR
1561370116,Camden,Arkansas,AR
1561370117,Cammack Village,Arkansas,AR
1561370118,Campbell Station,Arkansas,AR
1561370119,Caraway,Arkansas,AR
1561370120,Carlisle,Arkansas,AR
1561370121,Carthage,Arkansas,AR
1561370122,Casa,Arkansas,AR
1561370123,Cash,Arkansas,AR
1561370124,Caulksville,Arkansas,AR
1561370125,Cave City,Arkansas,AR
1561370126,Cave Springs,Arkansas,AR
1561370127,Cedarville,Arkansas,AR
1561370128,Center Ridge,Arkansas,AR
1561370129,Centerton,Arkansas,AR
1561370130,Central City,Arkansas,AR
1561370131,Charleston,Arkansas,AR
1561370132,Cherokee City,Arkansas,AR
1561370133,Cherokee Village,Arkansas,AR
1561370134,Cherry Valley,Arkansas,AR
1561370135,Chester,Arkansas,AR
1561370136,Chidester,Arkansas,AR
1561370137,Clarendon,Arkansas,AR
1561370138,Clarkedale,Arkansas,AR
1561370139,Clarksville,Arkansas,AR
1561370140,Clinton,Arkansas,AR
1561370141,Coal Hill,Arkansas,AR
1561370142,College Station,Arkansas,AR
1561370143,Colt,Arkansas,AR
1561370144,Concord,Arkansas,AR
1561370145,Conway,Arkansas,AR
1561370146,Corinth,Arkansas,AR
1561370147,Corning,Arkansas,AR
1561370148,Cotter,Arkansas,AR
1561370149,Cotton Plant,Arkansas,AR
1561370150,Cove,Arkansas,AR
1561370151,Coy,Arkansas,AR
1561370152,Crawfordsville,Arkansas,AR
1561370153,Crossett,Arkansas,AR
1561370154,Cushman,Arkansas,AR
1561370155,Daisy,Arkansas,AR
1561370156,Damascus,Arkansas,AR
1561370157,Danville,Arkansas,AR
1561370158,Dardanelle,Arkansas,AR
1561370159,Datto,Arkansas,AR
1561370160,De Queen,Arkansas,AR
