Uid,City Name,State,Abbr
1561707014,Abbeville,Louisiana,LA
1561707015,Abita Springs,Louisiana,LA
1561707016,Addis,Louisiana,LA
1561707017,Albany,Louisiana,LA
1561707018,Alexandria,Louisiana,LA
1561707019,Ama,Louisiana,LA
1561707020,Amelia,Louisiana,LA
1561707021,Amite City,Louisiana,LA
1561707022,Anacoco,Louisiana,LA
1561707023,Angie,Louisiana,LA
1561707024,Arabi,Louisiana,LA
1561707025,Arcadia,Louisiana,LA
1561707026,Arnaudville,Louisiana,LA
1561707027,Ashland,Louisiana,LA
1561707028,Athens,Louisiana,LA
1561707029,Atlanta,Louisiana,LA
1561707030,Avondale,Louisiana,LA
1561707031,Baker,Louisiana,LA
1561707032,Baldwin,Louisiana,LA
1561707033,Ball,Louisiana,LA
1561707034,Banks Springs,Louisiana,LA
1561707035,Barataria,Louisiana,LA
1561707036,Basile,Louisiana,LA
1561707037,Baskin,Louisiana,LA
1561707038,Bastrop,Louisiana,LA
1561707039,Baton Rouge,Louisiana,LA
1561707040,Bawcomville,Louisiana,LA
1561707041,Bayou Blue,Louisiana,LA
1561707042,Bayou Cane,Louisiana,LA
1561707043,Bayou Corne,Louisiana,LA
1561707044,Bayou Country Club,Louisiana,LA
1561707045,Bayou Gauche,Louisiana,LA
1561707046,Bayou Goula,Louisiana,LA
1561707047,Bayou L'Ourse,Louisiana,LA
1561707048,Bayou Vista,Louisiana,LA
1561707049,Belcher,Louisiana,LA
1561707050,Belle Chasse,Louisiana,LA
1561707051,Belle Rose,Louisiana,LA
1561707052,Belmont,Louisiana,LA
1561707053,Benton,Louisiana,LA
1561707054,Bernice,Louisiana,LA
1561707055,Berwick,Louisiana,LA
1561707056,Bienville,Louisiana,LA
1561707057,Blanchard,Louisiana,LA
1561707058,Bogalusa,Louisiana,LA
1561707059,Bonita,Louisiana,LA
1561707060,Boothville,Louisiana,LA
1561707061,Bordelonville,Louisiana,LA
1561707062,Bossier City,Louisiana,LA
1561707063,Bourg,Louisiana,LA
1561707064,Boutte,Louisiana,LA
1561707065,Boyce,Louisiana,LA
1561707066,Branch,Louisiana,LA
1561707067,Breaux Bridge,Louisiana,LA
1561707068,Bridge City,Louisiana,LA
1561707069,Broussard,Louisiana,LA
1561707070,Brownfields,Louisiana,LA
1561707071,Brownsville,Louisiana,LA
1561707072,Brusly,Louisiana,LA
1561707073,Bryceland,Louisiana,LA
1561707074,Bunkie,Louisiana,LA
1561707075,Buras,Louisiana,LA
1561707076,Cade,Louisiana,LA
1561707077,Calhoun,Louisiana,LA
1561707078,Calvin,Louisiana,LA
1561707079,Cameron,Louisiana,LA
1561707080,Campti,Louisiana,LA
1561707081,Cankton,Louisiana,LA
1561707082,Carencro,Louisiana,LA
1561707083,Carlyss,Louisiana,LA
1561707084,Castor,Louisiana,LA
1561707085,Catahoula,Louisiana,LA
1561707086,Cecilia,Louisiana,LA
1561707087,Center Point,Louisiana,LA
1561707088,Central,Louisiana,LA
1561707089,Chackbay,Louisiana,LA
1561707090,Chalmette,Louisiana,LA
1561707091,Charenton,Louisiana,LA
1561707092,Chataignier,Louisiana,LA
1561707093,Chatham,Louisiana,LA
1561707094,Chauvin,Louisiana,LA
1561707095,Cheneyville,Louisiana,LA
1561707096,Choctaw,Louisiana,LA
1561707097,Choudrant,Louisiana,LA
1561707098,Church Point,Louisiana,LA
1561707099,Claiborne,Louisiana,LA
1561707100,Clarence,Louisiana,LA
1561707101,Clarks,Louisiana,LA
1561707102,Clayton,Louisiana,LA
1561707103,Clinton,Louisiana,LA
1561707104,Colfax,Louisiana,LA
1561707105,Collinston,Louisiana,LA
1561707106,Columbia,Louisiana,LA
1561707107,Convent,Louisiana,LA
1561707108,Converse,Louisiana,LA
1561707109,Cotton Valley,Louisiana,LA
1561707110,Cottonport,Louisiana,LA
1561707111,Coushatta,Louisiana,LA
1561707112,Covington,Louisiana,LA
1561707113,Creola,Louisiana,LA
1561707114,Crescent,Louisiana,LA
1561707115,Crowley,Louisiana,LA
1561707116,Cullen,Louisiana,LA
1561707117,Cut Off,Louisiana,LA
1561707118,Delcambre,Louisiana,LA
1561707119,Delhi,Louisiana,LA
1561707120,Delta,Louisiana,LA
1561707121,Denham Springs,Louisiana,LA
1561707122,DeQuincy,Louisiana,LA
1561707123,DeRidder,Louisiana,LA
1561707124,Des Allemands,Louisiana,LA
1561707125,Destrehan,Louisiana,LA
1561707126,Deville,Louisiana,LA
1561707127,Dixie Inn,Louisiana,LA
1561707128,Dodson,Louisiana,LA
1561707129,Donaldsonville,Louisiana,LA
1561707130,Downsville,Louisiana,LA
1561707131,Doyline,Louisiana,LA
1561707132,Dry Prong,Louisiana,LA
1561707133,Dubach,Louisiana,LA
1561707134,Dubberly,Louisiana,LA
1561707135,Dulac,Louisiana,LA
1561707136,Duson,Louisiana,LA
1561707137,East Hodge,Louisiana,LA
1561707138,Eastwood,Louisiana,LA
1561707139,Eden Isle,Louisiana,LA
1561707140,Edgard,Louisiana,LA
1561707141,Edgefield,Louisiana,LA
1561707142,Egan,Louisiana,LA
1561707143,Elizabeth,Louisiana,LA
1561707144,Elmwood,Louisiana,LA
1561707145,Elton,Louisiana,LA
1561707146,Empire,Louisiana,LA
1561707147,Epps,Louisiana,LA
1561707148,Erath,Louisiana,LA
1561707149,Eros,Louisiana,LA
1561707150,Erwinville,Louisiana,LA
1561707151,Estelle,Louisiana,LA
1561707152,Estherwood,Louisiana,LA
1561707153,Eunice,Louisiana,LA
1561707154,Evergreen,Louisiana,LA
1561707155,Farmerville,Louisiana,LA
1561707156,Fenton,Louisiana,LA
1561707157,Ferriday,Louisiana,LA
1561707158,Fifth Ward,Louisiana,LA
1561707159,Fisher,Louisiana,LA
1561707160,Florien,Louisiana,LA
